threshold,fpr,tpr
0.76355797,0.00552000,0.01688000
0.76333106,0.00552000,0.01712000
0.76319337,0.00552000,0.01736000
0.76319575,0.00552000,0.01728000
0.76327437,0.00552000,0.01720000
0.76344627,0.00552000,0.01696000
0.76341784,0.00552000,0.01704000
0.76366317,0.00552000,0.01680000
0.76317173,0.00560000,0.01736000
0.76312643,0.00568000,0.01736000
0.76271325,0.00576000,0.01776000
0.76271081,0.00576000,0.01784000
0.76289243,0.00576000,0.01768000
0.76303649,0.00576000,0.01752000
0.76311171,0.00576000,0.01744000
0.76311493,0.00576000,0.01736000
0.76300943,0.00576000,0.01760000
0.76269573,0.00584000,0.01784000
0.76233113,0.00584000,0.01808000
0.76233739,0.00584000,0.01800000
0.76259518,0.00584000,0.01792000
0.76230615,0.00592000,0.01808000
0.76194227,0.00600000,0.01816000
0.76160729,0.00600000,0.01824000
0.76146543,0.00600000,0.01840000
0.76217180,0.00600000,0.01808000
0.76148373,0.00600000,0.01832000
0.76142067,0.00600000,0.01848000
0.76127237,0.00608000,0.01864000
0.76136708,0.00608000,0.01848000
0.76131868,0.00608000,0.01856000
0.76126868,0.00616000,0.01864000
0.76123631,0.00624000,0.01864000
0.76122940,0.00624000,0.01872000
0.76109236,0.00632000,0.01872000
0.76093453,0.00640000,0.01872000
0.76079649,0.00640000,0.01888000
0.76086122,0.00640000,0.01880000
0.76062334,0.00640000,0.01896000
0.76056796,0.00648000,0.01896000
0.76051748,0.00648000,0.01904000
0.76051521,0.00648000,0.01912000
0.76043940,0.00656000,0.01912000
0.76024288,0.00664000,0.01912000
0.76008147,0.00672000,0.01920000
0.76020050,0.00672000,0.01912000
0.75938451,0.00680000,0.01960000
0.75999284,0.00680000,0.01920000
0.75960386,0.00680000,0.01944000
0.75960064,0.00680000,0.01952000
0.75985777,0.00680000,0.01928000
0.75980371,0.00680000,0.01936000
0.75902450,0.00688000,0.01968000
0.75911486,0.00688000,0.01960000
0.75900114,0.00696000,0.01976000
0.75895101,0.00696000,0.01984000
0.75880909,0.00696000,0.02008000
0.75883514,0.00696000,0.02000000
0.75890511,0.00696000,0.01992000
0.75879520,0.00696000,0.02016000
0.75900739,0.00696000,0.01968000
0.75864220,0.00704000,0.02024000
0.75871629,0.00704000,0.02016000
0.75860077,0.00704000,0.02032000
0.75853336,0.00712000,0.02048000
0.75854731,0.00712000,0.02040000
0.75839645,0.00720000,0.02056000
0.75851154,0.00720000,0.02048000
0.75839555,0.00728000,0.02056000
0.75837260,0.00736000,0.02056000
0.75826949,0.00744000,0.02056000
0.75824171,0.00752000,0.02056000
0.75800461,0.00760000,0.02064000
0.75807542,0.00760000,0.02056000
0.75783581,0.00768000,0.02072000
0.75786757,0.00768000,0.02064000
0.75779903,0.00776000,0.02080000
0.75780314,0.00776000,0.02072000
0.75779849,0.00784000,0.02080000
0.75772154,0.00792000,0.02088000
0.75776422,0.00792000,0.02080000
0.75771838,0.00800000,0.02088000
0.75761276,0.00808000,0.02096000
0.75759578,0.00808000,0.02104000
0.75764954,0.00808000,0.02088000
0.75685400,0.00816000,0.02144000
0.75757402,0.00816000,0.02112000
0.75758362,0.00816000,0.02104000
0.75741822,0.00816000,0.02120000
0.75698453,0.00816000,0.02136000
0.75674570,0.00816000,0.02160000
0.75678360,0.00816000,0.02152000
0.75709319,0.00816000,0.02128000
0.75647968,0.00824000,0.02184000
0.75661469,0.00824000,0.02168000
0.75651729,0.00824000,0.02176000
0.75661981,0.00824000,0.02160000
0.75617242,0.00832000,0.02200000
0.75638324,0.00832000,0.02192000
0.75647151,0.00832000,0.02184000
0.75615776,0.00840000,0.02200000
0.75597394,0.00848000,0.02200000
0.75595140,0.00848000,0.02208000
0.75583822,0.00856000,0.02216000
0.75589931,0.00856000,0.02208000
0.75573218,0.00864000,0.02224000
0.75582159,0.00864000,0.02216000
0.75568515,0.00872000,0.02232000
0.75531787,0.00872000,0.02272000
0.75559443,0.00872000,0.02240000
0.75547141,0.00872000,0.02256000
0.75553209,0.00872000,0.02248000
0.75570500,0.00872000,0.02224000
0.75545835,0.00872000,0.02264000
0.75530404,0.00880000,0.02272000
0.75523907,0.00888000,0.02272000
0.75507158,0.00896000,0.02288000
0.75511396,0.00896000,0.02272000
0.75508082,0.00896000,0.02280000
0.75500274,0.00896000,0.02296000
0.75495344,0.00896000,0.02304000
0.75476664,0.00904000,0.02304000
0.75466752,0.00912000,0.02304000
0.75462663,0.00920000,0.02304000
0.75451797,0.00928000,0.02312000
0.75435358,0.00928000,0.02320000
0.75429863,0.00928000,0.02336000
0.75458890,0.00928000,0.02304000
0.75433147,0.00928000,0.02328000
0.75427979,0.00936000,0.02336000
0.75423753,0.00944000,0.02336000
0.75414824,0.00952000,0.02344000
0.75409889,0.00952000,0.02352000
0.75415528,0.00952000,0.02336000
0.75395954,0.00960000,0.02360000
0.75401592,0.00960000,0.02352000
0.75380558,0.00968000,0.02360000
0.75366205,0.00968000,0.02368000
0.75340641,0.00976000,0.02384000
0.75364763,0.00976000,0.02368000
0.75335318,0.00976000,0.02392000
0.75323176,0.00976000,0.02400000
0.75343567,0.00976000,0.02376000
0.75320792,0.00984000,0.02408000
0.75311160,0.00984000,0.02416000
0.75322312,0.00984000,0.02400000
0.75291657,0.00992000,0.02424000
0.75298399,0.00992000,0.02416000
0.75265878,0.00992000,0.02440000
0.75272709,0.00992000,0.02432000
0.75258946,0.01000000,0.02448000
0.75262588,0.01000000,0.02440000
0.75256693,0.01000000,0.02456000
0.75255394,0.01008000,0.02456000
0.75250179,0.01008000,0.02464000
0.75249147,0.01016000,0.02464000
0.75246274,0.01016000,0.02472000
0.75242609,0.01024000,0.02472000
0.75230348,0.01024000,0.02480000
0.75228506,0.01032000,0.02480000
0.75223863,0.01040000,0.02480000
0.75217456,0.01048000,0.02480000
0.75198436,0.01056000,0.02480000
0.75197369,0.01056000,0.02496000
0.75197965,0.01056000,0.02488000
0.75190467,0.01064000,0.02504000
0.75192076,0.01064000,0.02496000
0.75190067,0.01064000,0.02512000
0.75183505,0.01072000,0.02512000
0.75180334,0.01072000,0.02520000
0.75177586,0.01080000,0.02520000
0.75152397,0.01088000,0.02528000
0.75162995,0.01088000,0.02520000
0.75138420,0.01088000,0.02536000
0.75133061,0.01096000,0.02536000
0.75094956,0.01104000,0.02568000
0.75120163,0.01104000,0.02560000
0.75125057,0.01104000,0.02544000
0.75089484,0.01104000,0.02576000
0.75124270,0.01104000,0.02552000
0.75129390,0.01104000,0.02536000
0.75088704,0.01112000,0.02576000
0.75083059,0.01112000,0.02584000
0.75069833,0.01112000,0.02600000
0.75040764,0.01112000,0.02616000
0.75067860,0.01112000,0.02608000
0.75076962,0.01112000,0.02592000
0.75033742,0.01120000,0.02616000
0.75031674,0.01120000,0.02624000
0.75022238,0.01128000,0.02624000
0.75010413,0.01136000,0.02624000
0.74999976,0.01136000,0.02648000
0.75007224,0.01136000,0.02640000
0.75008702,0.01136000,0.02632000
0.74986380,0.01144000,0.02656000
0.74996626,0.01144000,0.02648000
0.74984264,0.01152000,0.02664000
0.74985188,0.01152000,0.02656000
0.74979609,0.01152000,0.02672000
0.74959552,0.01152000,0.02696000
0.74979389,0.01152000,0.02680000
0.74960780,0.01152000,0.02688000
0.74956471,0.01160000,0.02696000
0.74953550,0.01160000,0.02704000
0.74945045,0.01168000,0.02712000
0.74947995,0.01168000,0.02704000
0.74912131,0.01176000,0.02720000
0.74939692,0.01176000,0.02712000
0.74885583,0.01184000,0.02736000
0.74865955,0.01184000,0.02760000
0.74901080,0.01184000,0.02720000
0.74893397,0.01184000,0.02728000
0.74882716,0.01184000,0.02744000
0.74879086,0.01184000,0.02752000
0.74837393,0.01192000,0.02776000
0.74849939,0.01192000,0.02760000
0.74844658,0.01192000,0.02768000
0.74817044,0.01200000,0.02800000
0.74830920,0.01200000,0.02784000
0.74836224,0.01200000,0.02776000
0.74814385,0.01200000,0.02808000
0.74830520,0.01200000,0.02792000
0.74813211,0.01208000,0.02808000
0.74806565,0.01208000,0.02824000
0.74801326,0.01208000,0.02840000
0.74802274,0.01208000,0.02832000
0.74793935,0.01208000,0.02848000
0.74810541,0.01208000,0.02816000
0.74788886,0.01216000,0.02848000
0.74788374,0.01224000,0.02848000
0.74784845,0.01232000,0.02848000
0.74762166,0.01232000,0.02880000
0.74763340,0.01232000,0.02872000
0.74779731,0.01232000,0.02856000
0.74745899,0.01240000,0.02888000
0.74747753,0.01240000,0.02880000
0.74742931,0.01240000,0.02896000
0.74741435,0.01248000,0.02896000
0.74739850,0.01256000,0.02896000
0.74736923,0.01256000,0.02904000
0.74702775,0.01264000,0.02936000
0.74710172,0.01264000,0.02928000
0.74725217,0.01264000,0.02912000
0.74699938,0.01264000,0.02952000
0.74702471,0.01264000,0.02944000
0.74641925,0.01264000,0.02960000
0.74721199,0.01264000,0.02920000
0.74637151,0.01264000,0.02976000
0.74636459,0.01264000,0.02984000
0.74634099,0.01264000,0.02992000
0.74639541,0.01264000,0.02968000
0.74629694,0.01264000,0.03000000
0.74729306,0.01264000,0.02904000
0.74619782,0.01272000,0.03000000
0.74615628,0.01272000,0.03008000
0.74615270,0.01280000,0.03008000
0.74613076,0.01288000,0.03008000
0.74582946,0.01288000,0.03032000
0.74602288,0.01288000,0.03016000
0.74588978,0.01288000,0.03024000
0.74575502,0.01296000,0.03032000
0.74567467,0.01304000,0.03032000
0.74564743,0.01312000,0.03032000
0.74550337,0.01320000,0.03048000
0.74547935,0.01320000,0.03056000
0.74552149,0.01320000,0.03040000
0.74557900,0.01320000,0.03032000
0.74526721,0.01328000,0.03056000
0.74526364,0.01336000,0.03056000
0.74524516,0.01336000,0.03064000
0.74513417,0.01344000,0.03080000
0.74524122,0.01344000,0.03064000
0.74521577,0.01344000,0.03072000
0.74500310,0.01352000,0.03088000
0.74483609,0.01352000,0.03120000
0.74507844,0.01352000,0.03080000
0.74499846,0.01352000,0.03096000
0.74488640,0.01352000,0.03112000
0.74494910,0.01352000,0.03104000
0.74478561,0.01360000,0.03120000
0.74464172,0.01368000,0.03136000
0.74450922,0.01368000,0.03160000
0.74466431,0.01368000,0.03120000
0.74464607,0.01368000,0.03128000
0.74461502,0.01368000,0.03144000
0.74456865,0.01368000,0.03152000
0.74445182,0.01376000,0.03160000
0.74413407,0.01376000,0.03184000
0.74414247,0.01376000,0.03176000
0.74441552,0.01376000,0.03168000
0.74412084,0.01384000,0.03184000
0.74391127,0.01392000,0.03184000
0.74388754,0.01400000,0.03184000
0.74386549,0.01408000,0.03184000
0.74379373,0.01408000,0.03192000
0.74374557,0.01408000,0.03208000
0.74375689,0.01408000,0.03200000
0.74369955,0.01416000,0.03208000
0.74367791,0.01424000,0.03208000
0.74323958,0.01424000,0.03232000
0.74364120,0.01424000,0.03216000
0.74346322,0.01424000,0.03224000
0.74318099,0.01424000,0.03240000
0.74310124,0.01432000,0.03240000
0.74307883,0.01432000,0.03248000
0.74307621,0.01432000,0.03256000
0.74292511,0.01440000,0.03256000
0.74271828,0.01448000,0.03256000
0.74262363,0.01456000,0.03264000
0.74267989,0.01456000,0.03256000
0.74255663,0.01456000,0.03272000
0.74233484,0.01464000,0.03272000
0.74224883,0.01472000,0.03272000
0.74215895,0.01472000,0.03280000
0.74215150,0.01480000,0.03280000
0.74212891,0.01488000,0.03280000
0.74199599,0.01488000,0.03288000
0.74193692,0.01496000,0.03288000
0.74174815,0.01504000,0.03296000
0.74193394,0.01504000,0.03288000
0.74173367,0.01512000,0.03296000
0.74165410,0.01520000,0.03304000
0.74170464,0.01520000,0.03296000
0.74150926,0.01528000,0.03304000
0.74094701,0.01528000,0.03360000
0.74103594,0.01528000,0.03352000
0.74145293,0.01528000,0.03312000
0.74144602,0.01528000,0.03320000
0.74103916,0.01528000,0.03344000
0.74104840,0.01528000,0.03336000
0.74113339,0.01528000,0.03328000
0.74068403,0.01536000,0.03360000
0.74052727,0.01536000,0.03368000
0.74050343,0.01536000,0.03376000
0.74034739,0.01544000,0.03376000
0.74024451,0.01552000,0.03376000
0.74015778,0.01552000,0.03392000
0.74008363,0.01552000,0.03408000
0.74006724,0.01552000,0.03432000
0.73992896,0.01552000,0.03448000
0.74011898,0.01552000,0.03400000
0.74022269,0.01552000,0.03384000
0.74007159,0.01552000,0.03424000
0.74007893,0.01552000,0.03416000
0.73998606,0.01552000,0.03440000
0.73989576,0.01560000,0.03456000
0.73938328,0.01560000,0.03496000
0.73939776,0.01560000,0.03488000
0.73966622,0.01560000,0.03464000
0.73965281,0.01560000,0.03472000
0.73958725,0.01560000,0.03480000
0.73992288,0.01560000,0.03448000
0.73933232,0.01568000,0.03496000
0.73924053,0.01576000,0.03496000
0.73922038,0.01576000,0.03504000
0.73915023,0.01584000,0.03504000
0.73914260,0.01592000,0.03504000
0.73896617,0.01600000,0.03528000
0.73907202,0.01600000,0.03504000
0.73898399,0.01600000,0.03520000
0.73903620,0.01600000,0.03512000
0.73894107,0.01600000,0.03536000
0.73883247,0.01608000,0.03536000
0.73853469,0.01608000,0.03552000
0.73875272,0.01608000,0.03544000
0.73829800,0.01616000,0.03584000
0.73845851,0.01616000,0.03560000
0.73851842,0.01616000,0.03552000
0.73827899,0.01616000,0.03592000
0.73835659,0.01616000,0.03576000
0.73838198,0.01616000,0.03568000
0.73806369,0.01624000,0.03608000
0.73811311,0.01624000,0.03592000
0.73803562,0.01624000,0.03616000
0.73808038,0.01624000,0.03600000
0.73788881,0.01632000,0.03616000
0.73787558,0.01632000,0.03624000
0.73777866,0.01640000,0.03624000
0.73776269,0.01640000,0.03640000
0.73777753,0.01640000,0.03632000
0.73758364,0.01648000,0.03664000
0.73762536,0.01648000,0.03656000
0.73762667,0.01648000,0.03648000
0.73775363,0.01648000,0.03640000
0.73732656,0.01656000,0.03696000
0.73709965,0.01656000,0.03736000
0.73731482,0.01656000,0.03712000
0.73722702,0.01656000,0.03720000
0.73743457,0.01656000,0.03680000
0.73666686,0.01656000,0.03768000
0.73737442,0.01656000,0.03688000
0.73683703,0.01656000,0.03760000
0.73743695,0.01656000,0.03672000
0.73757273,0.01656000,0.03664000
0.73697478,0.01656000,0.03744000
0.73690575,0.01656000,0.03752000
0.73715830,0.01656000,0.03728000
0.73731518,0.01656000,0.03704000
0.73664129,0.01664000,0.03768000
0.73655367,0.01672000,0.03776000
0.73662466,0.01672000,0.03768000
0.73652261,0.01680000,0.03776000
0.73648638,0.01688000,0.03776000
0.73646992,0.01696000,0.03776000
0.73625386,0.01696000,0.03792000
0.73626328,0.01696000,0.03784000
0.73616773,0.01704000,0.03792000
0.73607188,0.01704000,0.03800000
0.73595810,0.01704000,0.03808000
0.73583078,0.01712000,0.03816000
0.73591328,0.01712000,0.03808000
0.73572570,0.01720000,0.03816000
0.73567367,0.01728000,0.03816000
0.73566377,0.01728000,0.03832000
0.73567206,0.01728000,0.03824000
0.73534709,0.01736000,0.03912000
0.73546183,0.01736000,0.03880000
0.73546994,0.01736000,0.03872000
0.73536813,0.01736000,0.03904000
0.73551804,0.01736000,0.03856000
0.73549694,0.01736000,0.03864000
0.73555839,0.01736000,0.03848000
0.73544955,0.01736000,0.03888000
0.73540336,0.01736000,0.03896000
0.73561597,0.01736000,0.03832000
0.73555982,0.01736000,0.03840000
0.73516428,0.01744000,0.03944000
0.73518115,0.01744000,0.03928000
0.73530501,0.01744000,0.03912000
0.73496330,0.01744000,0.03960000
0.73497707,0.01744000,0.03952000
0.73517841,0.01744000,0.03936000
0.73525840,0.01744000,0.03920000
0.73495519,0.01744000,0.03968000
0.73480660,0.01752000,0.03968000
0.73474652,0.01760000,0.03976000
0.73476976,0.01760000,0.03968000
0.73474360,0.01760000,0.03984000
0.73471135,0.01760000,0.03992000
0.73457551,0.01768000,0.03992000
0.73443562,0.01768000,0.04008000
0.73443002,0.01768000,0.04016000
0.73450643,0.01768000,0.04000000
0.73424983,0.01776000,0.04016000
0.73403156,0.01784000,0.04048000
0.73409402,0.01784000,0.04032000
0.73411423,0.01784000,0.04024000
0.73404288,0.01784000,0.04040000
0.73419088,0.01784000,0.04016000
0.73402745,0.01784000,0.04056000
0.73384911,0.01792000,0.04080000
0.73401523,0.01792000,0.04056000
0.73392844,0.01792000,0.04072000
0.73400486,0.01792000,0.04064000
0.73363805,0.01800000,0.04080000
0.73353511,0.01800000,0.04096000
0.73360354,0.01800000,0.04088000
0.73351353,0.01808000,0.04096000
0.73350847,0.01816000,0.04104000
0.73351210,0.01816000,0.04096000
0.73343468,0.01824000,0.04120000
0.73346907,0.01824000,0.04112000
0.73350149,0.01824000,0.04104000
0.73336500,0.01832000,0.04128000
0.73342407,0.01832000,0.04120000
0.73334903,0.01832000,0.04136000
0.73312646,0.01840000,0.04168000
0.73321992,0.01840000,0.04152000
0.73323780,0.01840000,0.04144000
0.73332006,0.01840000,0.04136000
0.73319274,0.01840000,0.04160000
0.73307037,0.01848000,0.04168000
0.73284566,0.01856000,0.04184000
0.73299819,0.01856000,0.04168000
0.73288828,0.01856000,0.04176000
0.73276645,0.01856000,0.04192000
0.73265249,0.01856000,0.04200000
0.73262453,0.01856000,0.04208000
0.73261184,0.01864000,0.04208000
0.73249966,0.01872000,0.04232000
0.73256028,0.01872000,0.04208000
0.73250872,0.01872000,0.04224000
0.73254728,0.01872000,0.04216000
0.73244178,0.01880000,0.04232000
0.73224652,0.01880000,0.04248000
0.73235077,0.01880000,0.04240000
0.73210728,0.01888000,0.04256000
0.73211575,0.01888000,0.04248000
